,mean_reward_100_steps,steps
453,-823.8098894891626,56127
454,-821.9725630362113,56219
455,-819.1579655777443,56297
456,-818.2766403898266,56419
457,-817.0243560542095,56498
458,-817.6501558747163,56575
459,-815.5737865808629,56684
460,-813.1155878716417,56824
461,-815.78401370469,56979
462,-815.1797649511334,57097
463,-815.6935787852577,57175
464,-817.8324835591386,57322
465,-837.805293833761,57590
466,-837.6652438843771,57676
467,-834.1419186426267,57800
468,-833.0836539381571,57877
469,-833.5220356840504,58000
470,-835.1186279384254,58096
471,-835.2439791672632,58194
472,-834.5784551148818,58312
473,-833.1166641549904,58428
474,-841.1266209685718,58597
475,-837.2977439544267,58675
476,-832.4168733853908,58867
477,-832.6070679219889,58960
478,-833.9107290348356,59056
479,-836.5323647735115,59183
480,-837.7798748808833,59299
481,-839.6998889038928,59402
482,-839.2638586881192,59502
483,-838.8959604296826,59623
484,-840.2172053791186,59702
485,-838.1089928775733,59779
486,-838.4501413412655,59864
487,-836.8602754175773,59945
488,-837.3238969851501,60025
489,-817.2293304619396,60110
490,-815.7877716966815,60253
491,-814.9982982798102,60334
492,-801.2906128091477,60426
493,-801.5356803202894,60513
494,-799.4257411720077,60601
495,-801.4106425180298,60711
496,-801.0186660571759,60805
497,-786.2894336351828,60888
498,-785.4311647591859,60961
499,-783.6571880528718,61046
500,-784.7470169519879,61142
501,-780.7863032635769,61215
502,-786.9146141766946,61383
503,-801.5442925890109,61621
504,-796.1985390369252,61693
505,-793.658933720815,61808
506,-807.3465410829991,62037
507,-823.1884904605074,62303
508,-823.6680590278729,62426
509,-821.643738215491,62505
510,-824.5926641350155,62622
511,-814.8770568362603,62711
512,-817.4659431834093,62803
513,-814.2661112095553,62888
514,-808.5194898491005,62983
515,-802.7806884863404,63108
516,-806.4585472718359,63229
517,-789.6786772158557,63349
518,-788.0623827005749,63467
519,-789.5735519970509,63586
520,-789.4062734111011,63670
521,-790.7085660350651,63784
522,-796.4244183650517,63933
523,-797.0080067346581,64039
524,-798.6495774069538,64128
525,-787.9393162633445,64205
526,-784.9122725613256,64291
527,-785.1949082995762,64417
528,-794.1545637114059,64600
529,-792.3337804410519,64699
530,-799.3752545004302,64867
531,-801.600367741742,64943
532,-792.5550931423787,65016
533,-794.8411252742835,65158
534,-790.1337145134032,65289
535,-782.8275816931913,65380
536,-782.5375849695287,65549
537,-782.6226226912103,65621
538,-781.2019527414441,65717
539,-767.5819429131836,65830
540,-767.8797217135098,65926
541,-768.2807606034158,66020
542,-770.2219737728524,66120
543,-761.1941836676768,66236
544,-761.044032105882,66345
545,-763.351825900771,66459
546,-756.9420236039713,66543
547,-759.2500543030234,66680
548,-760.5077142996915,66852
549,-767.0673307172805,67048
550,-772.0097801164966,67198
551,-773.9435937956824,67291
552,-764.7126970524911,67369
553,-789.4775573137763,67722
554,-789.5429005597564,67800
555,-790.8381612358985,67875
556,-787.3816913878494,67946
557,-787.2464072354347,68024
558,-784.9235265993427,68101
559,-786.3923454984266,68225
560,-784.3678775998129,68330
561,-778.7061128086821,68433
562,-778.6725951839762,68513
563,-779.8966097289399,68637
564,-779.107647106285,68760
565,-758.7286124032008,68846
566,-759.1966413242685,68915
567,-760.2682511367768,69033
568,-759.6912486299248,69113
569,-760.6329814328751,69272
570,-760.432777780145,69346
571,-767.1548469573139,69526
572,-763.7487789876053,69638
573,-764.8016167734351,69725
574,-757.1809779162012,69809
575,-761.0280698512946,69973
576,-756.6285989943207,70080
577,-756.8641146947734,70191
578,-756.0599816806196,70333
579,-755.0554147454878,70434
580,-754.7044990119714,70570
581,-751.5755209185216,70675
582,-749.4693013373179,70785
583,-746.880996013071,70904
584,-744.8802445918082,70986
585,-743.9963794432451,71088
586,-742.9962271982197,71146
587,-743.5183982781851,71269
588,-741.2039738377931,71349
589,-741.6657435198879,71471
590,-742.761931683015,71576
591,-742.8796116200773,71669
592,-741.4573508712668,71736
593,-745.3965552136747,71833
594,-748.7967578193608,71926
595,-752.4635837250063,72065
596,-750.5154318466406,72128
597,-750.3462332769986,72218
598,-750.8918466722578,72327
599,-751.6759151785569,72417
600,-748.128122208257,72482
601,-749.0461039101464,72566
602,-743.6752855326416,72687
603,-726.5892162609401,72759
604,-726.2651592497336,72865
605,-725.3275318258686,72957
606,-711.5181418221523,73057
607,-689.5365126707294,73115
608,-683.5201667229313,73190
609,-681.1660576077527,73273
610,-676.7910944599411,73356
611,-677.2009156043531,73440
612,-672.7608596144611,73507
613,-670.7386143577248,73586
614,-668.7639487544366,73665
615,-663.3354139045379,73774
616,-656.3659227740312,73856
617,-651.1828824568142,73952
618,-644.7953773404365,74032
619,-637.4544558817505,74124
620,-633.2067021364776,74223
621,-627.4652385862505,74326
622,-617.5631687557482,74383
623,-611.2238060732919,74456
624,-606.1631038930237,74545
625,-602.7216737863519,74609
626,-598.650838352112,74703
627,-593.6921845462679,74759
628,-579.745933999678,74834
629,-576.1134214119683,74898
630,-565.8358351256219,74979
